product_order_id,naver_settled_date,정산예정금액
2026041953571821,2026-05-04,109642
2026041953571831,2026-05-04,61480
2026041953571841,2026-05-04,9445
2026041954890401,2026-05-04,75456
2026041956182391,2026-05-04,105864
2026041956182401,2026-05-04,61479
2026041965317921,2026-05-04,106714
2026042085491401,2026-05-04,151100
2026042089060671,2026-05-04,304088
2026042281439731,2026-05-04,147322
2026042285932041,2026-05-04,106714
2026042528123691,2026-05-04,64267
2026042528123701,2026-05-04,9452
2026042536490161,2026-05-04,147322
2026042654510991,2026-05-04,147322
2026042666366111,2026-05-04,64219
2026042791293301,2026-05-04,106715
2026042725344691,2026-05-04,64218
2026042734709421,2026-05-04,64218
2026042884226711,2026-05-04,83011
2026042932547961,2026-05-04,64218
2026040492700171,2026-05-04,65162
2026040492700191,2026-05-04,9444
2026040414153281,2026-05-04,210595
2026040522463941,2026-05-04,50393
2026040524307731,2026-05-04,50393
2026040527428211,2026-05-04,74134
2026040529892111,2026-05-04,94910
2026040529892121,2026-05-04,48032
2026040535399591,2026-05-04,69412
2026040680540551,2026-05-04,97271
2026041081326691,2026-05-04,75221
2026041425256811,2026-05-04,94532
2026041425256821,2026-05-04,52035
2026041446399871,2026-05-04,53057
2026041446399881,2026-05-04,102233
2026041596746961,2026-05-04,61385
2026041579124021,2026-05-04,143734
2026041586463961,2026-05-04,102087
2026041586463971,2026-05-04,52980
2026041652089131,2026-05-04,304465
2026041813265021,2026-05-04,126735
2026041813265031,2026-05-04,105864
2026041822250401,2026-05-04,64218
2026041957312841,2026-05-04,64218
2026041962954471,2026-05-04,105864
2026041962954481,2026-05-04,61479
2026041966072121,2026-05-04,75457
2026041943025541,2026-05-04,75456
2026041946328781,2026-05-04,65578
2026042081525871,2026-05-04,77344
2026042140925531,2026-05-04,110492
2026042478614341,2026-05-04,64218
2026042794196541,2026-05-04,66106
2026042794196551,2026-05-04,9444
2026042794196561,2026-05-04,9444
2026042853606611,2026-05-04,64218
2026042853606621,2026-05-04,9444
2026042911675511,2026-05-04,83011
2026042985783441,2026-05-04,105900
2026042985783451,2026-05-04,61501
2026040528050401,2026-05-06,270090
2026040528050411,2026-05-06,105298
2026040673114201,2026-05-06,94910
2026040673114211,2026-05-06,52414
2026040679969791,2026-05-06,69412
2026040681229571,2026-05-06,143545
2026040694683911,2026-05-06,50393
2026040697652401,2026-05-06,104826
2026040720175801,2026-05-06,224699
2026041068588481,2026-05-06,50393
2026041198605921,2026-05-06,94532
2026041198605931,2026-05-06,104070
2026041422549711,2026-05-06,138067
2026041567319611,2026-05-06,215600
2026041578061651,2026-05-06,71867
2026041578061661,2026-05-06,52980
2026041589411231,2026-05-06,102087
2026041589411241,2026-05-06,105959
2026041620316791,2026-05-06,66107
2026041620316801,2026-05-06,4628
2026041621307431,2026-05-06,108603
2026041626546651,2026-05-06,105864
2026041626546661,2026-05-06,63368
2026041632509071,2026-05-06,306354
2026041813073531,2026-05-06,105864
2026041813073541,2026-05-06,61479
2026041952211621,2026-05-06,64218
2026041955502891,2026-05-06,61479
2026041955502901,2026-05-06,105864
2026041955663971,2026-05-06,124847
2026041960545131,2026-05-06,147322
2026041947580821,2026-05-06,103977
2026041947580831,2026-05-06,126736
2026042072695701,2026-05-06,304088
2026042083480701,2026-05-06,105865
2026042083480711,2026-05-06,61480
2026042093909701,2026-05-06,64273
2026042017925021,2026-05-06,151100
2026042278098281,2026-05-06,77344
2026042472271611,2026-05-06,75456
2026042494323631,2026-05-06,149211
2026042494323641,2026-05-06,9444
2026042537245211,2026-05-06,223816
2026042669536791,2026-05-06,64218
2026042669536801,2026-05-06,9444
2026042798491441,2026-05-06,106715
2026042739122091,2026-05-06,106714
2026042866549551,2026-05-06,66106
2026042914284041,2026-05-06,83011
2026043056395341,2026-05-06,64123
2026050234079961,2026-05-06,105959
